what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755283655
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755283803
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388755286999
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755347736
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755347916
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388755349202
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755352242
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755352382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755368050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755372680
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755376499
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388755377820
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755379428
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755379580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755384099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755441388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755511178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755523911
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388755541227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755543360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755545896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755585445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755593573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755601463
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755613323
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388755614872
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755616725
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755616877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755621386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755648910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755654790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755707844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755712429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755728638
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388755734776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755737818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388755740457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755742291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755755731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755763185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755764811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755801840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755805586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755813298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755821277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755822834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755845140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755849615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755851295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755857190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755860178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755861178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755869265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755874142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755876025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755899957
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755924072
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388755925161
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755927750
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755927896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755930379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755950460
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388755953421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755955245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755957080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755971565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388755976898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755979481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388755988371
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1388755993187
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755995963
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388755997421
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755998629
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388755998769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756000110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756010432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756014258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756088214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756110743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756112733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756130159
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388756131938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756133484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756135329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756150224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756155027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756156207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756168429
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388756170488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756172029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756175310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756183590
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1388756192421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756192632
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1388756211498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756213738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756213921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1388756218302
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1388756227432
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1388756227520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756245957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1388756260220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756261517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756270635
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756283320
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388756284885
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756287597
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756287732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756299812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756320837
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756325479
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388756326720
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756328054
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756328188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756345761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756359908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756365847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756367418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756389120
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388756403587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756405133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756407274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756410685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756414473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756426934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756431827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756433405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756442579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756452083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756455216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756459306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756464209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756465418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756478648
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1388756482716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756484231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756487349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756489779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756519091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756548717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756552421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756556749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756560848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388756567072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756570032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756571633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756587711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756597900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756606427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756661284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756665786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756679107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756690299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756700558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1388756700652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756711325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1388756721818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756724464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756725984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756735284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756736543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1388756736631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756761546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756763454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756769950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756778974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756797076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388756823833
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388756827628
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756829159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756829279
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756830917
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388756866080
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1388756879150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1388756888702
