what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387528557392
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1387528557532
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1387528557642
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387528557661
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1387528557799
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528574288
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528574501
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1387528574683
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1387528585435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528603733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528650993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1387528651032
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1387528657923
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1387528658921
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1387528659115
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1387528684543
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1387528684887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528687279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528689576
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1387528689874
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387528696120
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1387528699096
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528700894
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387528702901
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528705437
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528705663
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1387528724262
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1387528728011
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1387528728098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387528728338
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1387528738720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528749577
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528749578
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528750929
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528750930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528760156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528839132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1387528839169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528843729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528865095
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1387528865158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528865597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528866002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528869558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528871430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528874668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528910695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1387528910724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528913830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528934546
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1387528934594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528939046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528966183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1387528966217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528970976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528987538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387528987714
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387528990121
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528997774
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387528997919
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1387529002915
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1387529009942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387529011804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387529012008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387529016019
